ID,Severity,Status,Area,File,Lines,Finding,Impact,Fix direction,Verification,Architecture relation,Permalink,Latest review status,Latest review note,Reviewed head
FS-043,Positive,Implemented,Selection / cursors,crates/gpui-flowtext/src/document/position.rs,17-71,Selection affinity and visual gravity are explicit stored fields.,Caret intent can survive collaboration and undo instead of being guessed from direction.,Add full bidi behavior and more boundary tests.,No defect; test concurrent same-position insertion and wrapping.,Matches the selection-affinity requirement.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/document/position.rs#L17-L71,Implementation strengthened,Presence and undo now construct stable boundary cursors from the preceding/following text element; remote cursor resolution uses Event→Unicode conversion and preserves visual gravity. Two focused tests were added.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-044,Medium,Lead,Selection / bidi,crates/gpui-flowtext/src/document/position.rs,63-65,RTL/bidi gravity is explicitly simplified to neutral behavior.,Caret restoration and collaborative selection can be visually wrong in bidirectional text.,Integrate bidi-resolved visual positions into affinity/gravity mapping.,Add Arabic/Hebrew mixed-line collaboration and undo tests.,The target selection model calls out bidi behavior.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/document/position.rs#L63-L65,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-045,Critical,Confirmed-static,Workspace / event routing,crates/flowstate/src/workspace/workspace/documents.rs,360-455,"Native save, export, and undo hooks discard RuntimeEvents returned by command application.","LocalUpdate, repair patches, selection restoration, and other events can vanish depending on which UI action flushed pending edits.","Centralize all runtime calls through one event dispatcher that always applies projection events, publishes LocalUpdate, and updates session state.","Type without normal flush, then immediately save/export/undo in a live session.",There must be one local mutation/event path.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/workspace/workspace/documents.rs#L360-L455,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-046,High,Confirmed-static,Save / collaboration,crates/flowstate/src/workspace/workspace/documents.rs,360-455,Checkpoint LocalUpdate events are not directly forwarded by save hooks.,"Peers learn about revision/checkpoint metadata only through later digest recovery, and may miss it if the session closes.",Publish every LocalUpdate returned by checkpoint before reporting save success.,Save and immediately close the host while a peer remains connected.,Canonical revision metadata must synchronize like other Loro updates.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/workspace/workspace/documents.rs#L360-L455,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-047,Critical,Confirmed-static,Collaboration / failure handling,crates/flowstate/src/collab/session.rs,880-970,Any local runtime error during flush detaches the whole collaboration session.,"A disk error, malformed command, or partial batch failure destroys the active session and can strand optimistic UI state.",Classify errors: stale -> rebase; persistence -> remain connected and show durable-dirty; bad local command -> rollback/reproject; protocol lineage -> isolate peer.,Inject each error class during normal typing.,Local persistence and network liveness must not share one fatal path.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session.rs#L880-L970,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-048,High,Confirmed-static,Collaboration / persistence,crates/flowstate/src/collab/session.rs,880-970,Local package-write failures are treated as collaboration-fatal.,Networking is lost even though peers and in-memory CRDT may still be healthy.,Track unsaved state and retry persistence independently from the session.,Make the package path read-only during a session.,Runtime should isolate CRDT work from filesystem failures.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session.rs#L880-L970,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-049,High,Likely,Collaboration / detach,crates/flowstate/src/collab/session.rs,930-1040,Detach initiates an asynchronous final flush while removing runtime/session hooks immediately.,Final optimistic edits can complete after the session is gone and never be published or applied.,Make detach await an acknowledged flush or explicitly cancel and canonical-reproject before teardown.,Type and instantly leave/close under delayed runtime execution.,No user edit should be silently abandoned during lifecycle transition.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session.rs#L930-L1040,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-050,High,Confirmed-static,Editor / error rollback,crates/flowstate/src/collab/session.rs,880-970,Non-stale runtime errors complete the in-flight marker without restoring the editor from canonical projection.,Optimistic UI may continue showing content that was never accepted canonically.,"On any rejected batch, replace/rebase from runtime projection and restore transformed selection.",Inject invalid command after optimistic mutation.,UI projection is derived and must converge to runtime state.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session.rs#L880-L970,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-051,High,Likely,Editor / acknowledgement,crates/flowstate/src/workspace/workspace/documents.rs,1756-1799,The acknowledge-without-replay path assumes local optimistic projection exactly equals canonical runtime output.,"Canonical repair, normalization, or metadata-driven visible changes in the same batch can be skipped while the frontier advances.",Have the runtime label events as pure echo versus corrective projection; acknowledge only pure echoes.,Trigger a command that also repairs malformed paragraph/object metadata.,Derived projection must reflect every canonical repair.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/workspace/workspace/documents.rs#L1756-L1799,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-052,High,Confirmed-static,Workspace / event routing,crates/flowstate/src/workspace/workspace/documents.rs,1756-1799,Acknowledge-without-replay returns early and ignores all other event kinds.,"SelectionRestored, projection repairs, revision events, or other future event types in the batch are lost.",Filter only the local echo patch; process the remainder through the common dispatcher.,Return a batch containing LocalUpdate plus SelectionRestored/ProjectionUpdated.,Runtime event handling must be complete and centralized.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/workspace/workspace/documents.rs#L1756-L1799,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-053,High,Confirmed-static,Recovery,crates/gpui-flowtext/src/rich_text/editor/recovery.rs,144-247,Runtime recovery snapshots can run without first flushing pending optimistic semantic edits.,"The recovery file can omit the newest unsaved edits, then record that generation as recovered.","Recovery hook must atomically submit pending edits, await canonical acknowledgement, and snapshot that exact frontier.","Type, block the normal runtime flush, wait for recovery, then crash and restore.",Recovery must serialize canonical Loro state at the user's latest accepted edit.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/recovery.rs#L144-L247,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-054,Medium,Confirmed-static,Assets / dirty state,crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs,5-20,Receiving out-of-band asset bytes marks the document as edited.,"A cache/availability event causes dirty indicators, autosave, recovery writes, and close prompts even when canonical metadata did not change.",Separate asset availability/cache generation from document edit generation.,"Open a document with a missing image, receive bytes, and inspect dirty state.",Asset bytes are outside Loro and availability is not a document-history edit.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs#L5-L20,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-055,Medium,Confirmed-static,Assets / undo,crates/flowstate/src/collab/session.rs,730-790,Applying synchronized assets clears editor undo/redo stacks.,A non-document cache arrival destroys user history.,Do not clear canonical Loro undo for asset availability. Invalidate only affected image layout/cache.,"Make edits, receive image bytes, then undo.","Undo is based on Loro document changes, not asset-transfer completion.",https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session.rs#L730-L790,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-056,High,Confirmed-static,Editor / structural patches,crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs,92-140,Remote structural patches rebuild the whole visible document while local optimistic edits may be queued.,Queued local text/object state can be overwritten or selections reset.,"Rebase queued semantic edits over the new canonical frontier, or serialize remote application against speculative overlays.",Delay local runtime acknowledgement and apply a remote object insertion.,UI receives derived diffs but must preserve/rebase local intent.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs#L92-L140,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-057,Medium,Confirmed-static,Editor / object state,crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs,104-157,Broad structural changes clear active image/table/equation editing state.,Unrelated remote structure changes interrupt local editing.,Transform selected object IDs through the patch and clear only if the selected object was deleted/replaced.,Edit a table cell while a remote user inserts an unrelated image.,Selection should be durable-ID/cursor based.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs#L104-L157,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-058,Medium,Lead,Editor / deferred apply,crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs,51-57,"Projection apply is deferred during drag, resize, selection, and IME, but queue limits/order need explicit guarantees.",A long interaction under remote activity may accumulate stale patches or apply them after local coordinates changed.,Use a bounded frontier-aware queue and collapse to one full snapshot when the queue is superseded.,Hold IME composition/drag while flooding remote updates.,Projection batching must be frontier-scoped.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/projection_apply.rs#L51-L57,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-059,Medium,Confirmed-static,Editor lifecycle,crates/gpui-flowtext/src/rich_text/editor/lifecycle.rs,330-352,Disabling runtime capture resets the in-flight count without cancelling callbacks or changing an epoch.,A late callback can mutate an editor after route/session transition.,Attach a capture epoch/token to every request and ignore late completions from older epochs.,Disable capture while a delayed save/edit request is in flight.,Runtime lifecycle needs explicit ownership epochs.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/lifecycle.rs#L330-L352,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-060,Medium,Lead,Undo transition,crates/gpui-flowtext/src/rich_text/editor/lifecycle.rs,369-377,The editor retains a separate local undo stack whenever command capture is temporarily disabled.,A lifecycle gap can create edits in the wrong undo system.,"Once a Loro runtime is attached, disable projection-native document history permanently; use a speculative overlay only.",Edit during attach/detach and startup transitions.,Undo must be Loro-native for all documents.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/lifecycle.rs#L369-L377,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-061,High,Likely,Autosave / event routing,crates/flowstate/src/workspace/workspace/documents.rs,1450-1464,Autosave directly invokes editor save while live edit flushing is independently scheduled.,"Even with actor serialization, pending commands and returned events can be consumed by the wrong path and dropped.",Make autosave request a checkpoint through the same collaboration-aware flush/event dispatcher.,Trigger autosave while a local batch and remote import are in flight.,One canonical command/persistence/sync pipeline is required.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/workspace/workspace/documents.rs#L1450-L1464,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-062,Medium,Confirmed-static,Close / save,crates/flowstate/src/workspace/workspace/documents.rs,1604-1670,Save-on-close does not explicitly forward checkpoint events before session shutdown.,The file may save locally while peers never receive final revision/edit metadata.,Await common runtime event dispatch and network enqueue before closing the session.,Close a dirty collaborative document and inspect peer/frontier state.,Save and sync are expressions of the same canonical history.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/workspace/workspace/documents.rs#L1604-L1670,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-063,Medium,Confirmed-static,Editor / export lifecycle,crates/gpui-flowtext/src/rich_text/editor/send_export.rs,31-148,Successful save/export replaces the entire editor projection.,This can reset transient local UI state and force unnecessary full layout work even when the projection is only an acknowledged echo.,Acknowledge the frontier and apply only corrective diffs; reserve full replacement for actual divergence.,Export a large document while editing and inspect selection/collapse/layout state.,"Full rebuild is exceptional, not the ordinary path.",https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/gpui-flowtext/src/rich_text/editor/send_export.rs#L31-L148,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-064,High,Confirmed-static,Collaboration / buffering,crates/flowstate/src/collab/session_io.rs,20-45,Remote updates received before runtime attachment are stored in an unbounded VecDeque.,A peer can exhaust memory before document attachment completes.,Bound by message count and total bytes; spill/reject and trigger one version-vector pull after attach.,Delay attach and flood unique updates.,P2P input queues must be bounded.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session_io.rs#L20-L45,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-065,High,Confirmed-static,Anti-entropy / robustness,crates/flowstate/src/collab/session.rs,380-450,Malformed digest/version-vector data propagates as a session-fatal error.,One bad peer packet can detach a healthy collaborative session.,"Drop/quarantine the sender, record telemetry, and continue the session; only local invariant corruption should be fatal.",Send invalid VV bytes from one peer in a three-peer session.,Import/anti-entropy must be resilient to peer input.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session.rs#L380-L450,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-066,High,Confirmed-static,Remote import / robustness,crates/flowstate/src/collab/session_io.rs,47-88,Any remote Loro import error is escalated to session failure.,A corrupt or incompatible update from one peer disconnects everyone locally.,"Reject the update, isolate the sender, and request a verified snapshot/update from another peer.",Send malformed update bytes while another peer remains healthy.,Remote updates should be accepted/rejected without destroying runtime liveness.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session_io.rs#L47-L88,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-067,High,Likely,Anti-entropy / lineage,crates/flowstate-collab/src/net/anti_entropy.rs,90-121,Lineage mismatch is represented as a global GapAction rather than a peer-scoped quarantine policy.,A wrong-session digest can become a session-wide failure in the app layer.,Treat mismatch as invalid input from that endpoint; never mutate or detach the local session.,Inject a digest with another SessionId.,"Document lineage validation is required, but peer faults should remain isolated.",https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/anti_entropy.rs#L90-L121,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-068,Critical,Confirmed-static,Direct protocol / memory safety,crates/flowstate-collab/src/net/direct.rs,300-390,Direct payload reads trust a peer-declared u64 length and allocate before semantic validation.,A remote endpoint can request an arbitrarily large allocation and terminate the process.,Enforce protocol-specific maximum lengths before allocation; stream large payloads to bounded storage and use timeouts.,Send a length prefix near u64::MAX without a body.,Network input must be bounded before allocation.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/direct.rs#L300-L390,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-069,High,Confirmed-static,Direct protocol / liveness,crates/flowstate-collab/src/net/direct.rs,90-180,A request handler can wait indefinitely for the application/runtime response while holding a serving permit.,Slow or wedged local handling lets remote clients exhaust service capacity.,Add per-request deadlines and cancellation; release permits before long app work when possible.,Never answer a direct request and open four more.,Runtime/network isolation requires bounded waits.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/direct.rs#L90-L180,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-070,Medium,Confirmed-static,Direct protocol / fairness,crates/flowstate-collab/src/net/direct.rs,40-90,Only a small global semaphore protects all direct serving.,A few slow requests in one session can starve all other sessions and message types.,Use per-peer/per-session quotas plus a larger global safety cap.,Open slow requests from one peer and test another session.,P2P resilience should avoid cross-session head-of-line blocking.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/direct.rs#L40-L90,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-071,High,Confirmed-static,Gossip / liveness,crates/flowstate-collab/src/net/swarm.rs,180-300,A gossip publish error exits the entire swarm task.,Transient oversize/backpressure/network failures kill collaboration instead of degrading one message.,"Classify publish errors, retry/backoff transient failures, drop only the bad message, and keep the swarm loop alive.",Force one publish failure and observe subsequent traffic.,Periodic digest is fallback liveness; the transport loop must survive errors.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/swarm.rs#L180-L300,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-072,High,Confirmed-static,Presence / transport,crates/flowstate-collab/src/proto_gossip.rs,1-120,Presence uses inline gossip payloads with a small limit.,Long display names or encoded presence state can exceed the cap; combined with fatal publish handling this kills the swarm.,"Bound/sanitize names and selection payloads, or use a separate capped presence encoding with graceful drop.",Set a very long display name and publish presence.,Presence is ephemeral and must never endanger document synchronization.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/proto_gossip.rs#L1-L120,Partially mitigated; remains open,"Presence snapshots now publish only the local peer state instead of encode_all, and external-caret work is debounced. Individual presence payloads, display names, the inline gossip limit, and fatal swarm publish behavior remain unchanged.",9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-073,Medium,Lead,Anti-entropy / size,crates/flowstate-collab/src/proto_gossip.rs,1-160,Version-vector digest size is not clearly bounded against transport limits.,Long-lived/high-replica documents may produce oversized digest messages.,Define maximum digest size and a fallback direct digest/snapshot negotiation.,Create thousands of replica entries and encode a digest.,Anti-entropy must scale with durable history.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/proto_gossip.rs#L1-L160,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-074,High,Confirmed-static,Network runtime / memory,crates/flowstate-collab/src/net/runtime.rs,40-160,Network command and event channels are unbounded.,"A blocked UI or slow network task can accumulate unlimited updates, presence events, blob requests, and status messages.","Use bounded channels, coalesce presence/digests, and apply backpressure to document-update producers.",Pause event consumption and flood updates.,Networking should not create unbounded process memory.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/runtime.rs#L40-L160,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-075,High,Confirmed-static,Blob outbox,crates/flowstate-collab/src/net/blobs.rs,1-180,A single blob larger than the outbox byte cap is inserted and then immediately evicted.,Peers receive an announcement for content the sender can no longer serve.,Reject oversize blobs before announcing or store them in a persistent/streaming content-addressed store.,Publish an update just above the byte cap.,Large updates/assets need reliable out-of-band availability.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/blobs.rs#L1-L180,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-076,Medium,Likely,Blob transfer / retention,crates/flowstate-collab/src/net/blobs.rs,80-220,Rapid blob churn can evict content before slow peers request it.,Peers stall until periodic anti-entropy reconstructs another route.,"Retain until acknowledgement/expiry, pin latest document updates, or serve from package journal/content store.",Throttle a peer and publish many blobs.,Asset/update availability is part of sync status.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/blobs.rs#L80-L220,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-077,High,Confirmed-static,Anti-entropy / liveness,crates/flowstate-collab/src/net/anti_entropy.rs,27-136,One global `pull_in_flight` flag blocks pulls from all peers.,A hung pull prevents recovery from healthier peers indefinitely.,"Track pulls by peer/range, add deadlines, and allow fallback to another candidate.","Start a pull from an unresponsive peer, then advertise missing ops from another.",Immediate anti-entropy must remain live under peer failure.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/anti_entropy.rs#L27-L136,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-078,Medium,Lead,Anti-entropy / peer choice,crates/flowstate-collab/src/net/anti_entropy.rs,79-88,Lag recovery uses one fallback peer and has no immediate alternate selection in this state object.,Recovery waits on a poor candidate even when other peers are available.,Rank multiple candidates and rotate on timeout/failure.,"Lag with two peers, make the selected fallback unavailable.",P2P recovery should use available redundancy.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/net/anti_entropy.rs#L79-L88,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-079,High,Likely,Presence / authenticity,crates/flowstate-collab/src/presence.rs,119-175,Presence-state keys are accepted from encoded ephemeral updates without binding them to the authenticated sender endpoint.,A session member may spoof another participant's name/caret/color key.,Wrap presence updates in sender-authenticated envelopes and reject states for keys not derived from the transport sender.,Have peer B publish an encoded state under peer A's key.,"Presence is ephemeral, but peer identity must remain trustworthy.",https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/presence.rs#L119-L175,Partially mitigated; remains open,Publishing encode_self prevents an honest peer from rebroadcasting all remote roster states. Inbound ephemeral state keys are still not cryptographically/transport-bound to the sending endpoint.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-080,Medium,Lead,Session authorization,crates/flowstate-collab/src/ticket.rs,11-59,"Session tickets contain no expiry, capability, role, or revocation data.",A copied bearer ticket may remain usable for the session lifetime with editor-level access determined elsewhere.,"Define signed capabilities/roles, optional expiry, and host revocation/rotation.",Reuse an old ticket after role change or host restart.,The architecture defines roles/users but needs an authorization trust model.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/ticket.rs#L11-L59,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-081,Low,Confirmed-static,Protocol diagnostics,crates/flowstate-collab/src/ids.rs,67-90,SessionId parser accepts uppercase hex while the error says lowercase is required.,Diagnostics and canonical ticket expectations disagree.,Either reject uppercase or change the message.,Parse uppercase A-F.,Low-risk protocol consistency issue.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/ids.rs#L67-L90,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-082,Positive,Implemented,Assets / integrity,crates/flowstate/src/collab/asset_transfer.rs,120-260,Received assets are checked against expected byte length and BLAKE3 hash.,This prevents accidental/corrupt asset attachment.,Retain and add size caps before allocation/download.,No defect; adversarially test mismatch handling.,Matches canonical BLAKE3 asset addressing.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/asset_transfer.rs#L120-L260,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-083,Positive,Implemented,Anti-entropy,crates/flowstate/src/collab/session_io.rs,47-110,Pending/missing import dependencies trigger immediate anti-entropy work.,The design does not rely only on periodic digest.,Keep this path while making failures peer-scoped and time-bounded.,No defect; retain behavior.,Matches the anti-entropy requirement.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate/src/collab/session_io.rs#L47-L110,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-084,Critical,Confirmed-static,Projection diff,crates/flowstate-collab/src/crdt_runtime/projection_patch.rs,15-47,"When block IDs form a single move, the diff emits only MoveBlock.",Text/style/object changes in the same canonical commit are omitted.,"After structural detection, also diff all retained blocks, or derive patches directly from the Loro event batch.",Move a block and edit its content in one grouped change.,A projection event must represent the complete frontier transition.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime/projection_patch.rs#L15-L47,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-085,Critical,Confirmed-static,Projection diff,crates/flowstate-collab/src/crdt_runtime/projection_patch.rs,31-47,Insert/delete structural diffs omit changes to retained prefix and suffix blocks.,A commit that inserts a block and edits existing content produces an incomplete UI update.,Diff unchanged-ID regions before/after the structural middle or fall back to a full snapshot.,Insert an object and edit a paragraph in one transaction.,Batched frontier invalidation must be complete.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime/projection_patch.rs#L31-L47,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
FS-086,High,Confirmed-static,Projection diff / performance,crates/flowstate-collab/src/crdt_runtime/projection_patch.rs,202-217,Single-block-move detection is cubic and repeatedly clones vectors.,Large documents can freeze on common reorder diffs.,Use an O(n) position map/permutation check.,Benchmark one move in 10k and 100k blocks.,Incremental projection is intended to improve responsiveness.,https://github.com/realartists-gitmo/flowstate/blob/0d0ecea88c71f90ddf6cc266da028242c8366646/crates/flowstate-collab/src/crdt_runtime/projection_patch.rs#L202-L217,Unchanged,The latest two commits do not modify the code establishing this finding.,9cb8ad8add47db2e3cefd611053a8d99e4ce4048
